CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82980600,-25.4666337593647,-49.1916779820241,3,06:14,38,81750280,-25.5127671393955,-49.2444025714353,True,06:21
81750280,-25.5127671393955,-49.2444025714353,3,06:21,42,81020150,-25.4852090685074,-49.2875810685635,True,06:28
81020150,-25.4852090685074,-49.2875810685635,3,06:28,44,80440090,-25.4443285001079,-49.2916224997606,True,06:43
80440090,-25.4443285001079,-49.2916224997606,3,06:43,32,82821020,-25.4233146347775,-49.2160678044742,True,06:45
82821020,-25.4233146347775,-49.2160678044742,3,06:45,56,82840140,-25.4035558681452,-49.2092009936114,True,06:46
82840140,-25.4035558681452,-49.2092009936114,3,06:46,60,82600640,-25.3981885762214,-49.2162511520761,False,06:46
82600640,-25.3981885762214,-49.2162511520761,3,06:46,0,81470300,-25.575776177431,-49.3365443994341,False,07:08
81470300,-25.575776177431,-49.3365443994341,3,07:08,32,81030370,-25.4881800174281,-49.2756635796428,True,07:26
81030370,-25.4881800174281,-49.2756635796428,3,07:26,34,82300430,-25.4211195918941,-49.3463656911546,True,07:55
82300430,-25.4211195918941,-49.3463656911546,3,07:55,30,82930030,-25.4568138879969,-49.2056962318778,True,08:20
82930030,-25.4568138879969,-49.2056962318778,3,08:20,31,82710330,-25.3530998572423,-49.2583428932106,True,08:20
82710330,-25.3530998572423,-49.2583428932106,3,08:20,0,81580179,-25.4968867857253,-49.2235692856984,False,08:35
81580179,-25.4968867857253,-49.2235692856984,3,08:35,33,82821020,-25.4233146347775,-49.2160678044742,True,08:45
82821020,-25.4233146347775,-49.2160678044742,3,08:45,39,80620370,-25.4578113636589,-49.2746421817496,True,08:56
80620370,-25.4578113636589,-49.2746421817496,3,08:56,39,81550150,-25.4770778208763,-49.2126543845983,True,09:23
81550150,-25.4770778208763,-49.2126543845983,3,09:23,30,81460235,-25.5296041641745,-49.3384583258202,True,09:52
81460235,-25.5296041641745,-49.3384583258202,3,09:52,30,82020560,-25.401157660715,-49.3241349981993,True,10:12
82020560,-25.401157660715,-49.3241349981993,3,10:12,33,82821020,-25.4233146347775,-49.2160678044742,True,10:25
82821020,-25.4233146347775,-49.2160678044742,3,10:25,37,81590578,-25.4926040000053,-49.2000059999854,True,10:40
81590578,-25.4926040000053,-49.2000059999854,3,10:40,32,82821020,-25.4233146347775,-49.2160678044742,True,10:50
82821020,-25.4233146347775,-49.2160678044742,3,10:50,39,81590210,-25.4814447782289,-49.198611250503,True,10:50
81590210,-25.4814447782289,-49.198611250503,3,10:50,0,82410316,-25.3849215000131,-49.328439749977,False,11:10
82410316,-25.3849215000131,-49.328439749977,3,11:10,33,81260412,-25.4811505865638,-49.3545312407406,True,11:32
81260412,-25.4811505865638,-49.3545312407406,3,11:32,32,81570092,-25.47733771481,-49.2394309559741,True,11:43
81570092,-25.47733771481,-49.2394309559741,3,11:43,36,82821020,-25.4233146347775,-49.2160678044742,True,11:43
82821020,-25.4233146347775,-49.2160678044742,3,11:43,45,82821020,-25.4233146347775,-49.2160678044742,False,12:02
82821020,-25.4233146347775,-49.2160678044742,3,12:02,33,82020770,-25.4035799002893,-49.3165390673192,True,12:08
82020770,-25.4035799002893,-49.3165390673192,3,12:08,44,82315390,-25.4096763580765,-49.3604395248946,True,12:25
82315390,-25.4096763580765,-49.3604395248946,3,12:25,34,81450195,-25.4997584943394,-49.3532384355102,True,12:47
81450195,-25.4997584943394,-49.3532384355102,3,12:47,32,81510390,-25.4685143295265,-49.2421165124832,True,12:55
81510390,-25.4685143295265,-49.2421165124832,3,12:55,42,80240660,-25.4542530556284,-49.2916382221557,True,12:59
80240660,-25.4542530556284,-49.2916382221557,3,12:59,48,81220170,-25.4569440522711,-49.3221956960987,True,13:20
81220170,-25.4569440522711,-49.3221956960987,3,13:20,32,82821020,-25.4233146347775,-49.2160678044742,True,13:20
82821020,-25.4233146347775,-49.2160678044742,3,13:20,46,82821020,-25.4233146347775,-49.2160678044742,False,13:30
82821020,-25.4233146347775,-49.2160678044742,3,13:30,30,82630494,-25.3769201560983,-49.2197021839363,True,13:39
82630494,-25.3769201560983,-49.2197021839363,3,13:39,40,82530380,-25.4300625729625,-49.2336060009616,True,13:59
82530380,-25.4300625729625,-49.2336060009616,3,13:59,33,81200400,-25.4338997893551,-49.3437087449233,True,13:59
81200400,-25.4338997893551,-49.3437087449233,3,13:59,60,81200390,-25.4331374954389,-49.3440640772759,False,14:27
81200390,-25.4331374954389,-49.3440640772759,3,14:27,30,82920090,-25.4493406843058,-49.2065936315104,True,14:38
82920090,-25.4493406843058,-49.2065936315104,3,14:38,38,80010200,-25.4499691308346,-49.2748090324017,True,14:48
80010200,-25.4499691308346,-49.2748090324017,3,14:48,39,81580020,-25.4882127778241,-49.2241676667996,True,15:11
